post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
164842094.george-washington-on-data-engineering,,false,,,newsletter,only_paid,,,
164251337.apache-iceberg-rant,2025-05-26T12:44:21.412Z,true,2025-05-26T12:44:21.558Z,2025-05-26T12:44:21.558Z,podcast,everyone,Apache Iceberg Rant.,we have been saved from catalog hell,
164094171.databricks-sql-scripting,2025-06-02T12:03:20.701Z,true,2025-06-02T12:03:20.837Z,2025-06-02T12:03:20.837Z,newsletter,everyone,Databricks SQL Scripting,SQL Server infiltrates the Lake House,
163944714.what-an-iceberg-catalog-that-works,2025-05-20T14:37:52.534Z,true,2025-05-20T14:37:52.646Z,2025-05-20T14:37:52.646Z,newsletter,everyone,What?! An Iceberg Catalog that works?,who would have thought ...,
163580493.how-do-eat-a-data-platform,2025-05-19T12:16:14.496Z,true,2025-05-19T12:16:14.678Z,2025-05-19T12:16:14.678Z,newsletter,only_paid,How do eat a Data Platform?,... one PR at a time.,
163175767.postgres-to-delta-lake-and-back-again,2025-05-12T12:17:33.193Z,true,2025-05-12T12:17:33.305Z,2025-05-12T12:17:33.305Z,newsletter,only_paid,Postgres to Delta Lake ... and back again.,back and forth,
162695553.ai-is-never-going-to-take-your-job,2025-05-08T20:58:06.562Z,true,2025-05-08T20:58:06.658Z,2025-05-08T20:58:06.658Z,newsletter,everyone,AI is NEVER going to take your job.,AI ain't going to get me.,
162626492.dataframe-sql-column-manipulation,2025-05-06T19:26:02.828Z,true,2025-05-06T19:26:02.999Z,2025-05-06T19:26:02.999Z,newsletter,everyone,DataFrame / SQL Column Manipulation.,"Spark, Polars, etc.",
162365203.ray-on-databricks-distributed-python,2025-05-01T15:39:03.792Z,true,2025-05-01T15:39:03.950Z,2025-05-01T15:39:03.950Z,newsletter,only_paid,Ray on Databricks. Distributed Python.,Machine Learning and AI Mastery,
162012220.becoming-a-better-data-engineer,2025-04-28T12:22:15.474Z,true,2025-04-28T12:22:15.587Z,2025-04-28T12:22:15.587Z,newsletter,everyone,"Becoming a ""better"" Data Engineer",being more competitive ,
161746114.cloudflare-r2-apache-iceberg-r2-data,2025-04-21T01:07:59.292Z,true,2025-04-21T01:07:59.392Z,2025-04-21T01:07:59.392Z,newsletter,everyone,Cloudflare R2 + Apache Iceberg + R2 Data Catalog + Daft,the S3 Table killer?,
161263643.lakekeeper-iceberg-rest-catalog,2025-12-08T12:55:15.004Z,true,2025-12-08T12:55:15.214Z,2025-12-08T12:55:15.214Z,newsletter,only_paid,LakeKeeper: Iceberg REST Catalog,... another catalog for the mix,
160908298.duckdb-pyiceberg-lambda,2025-05-16T03:14:50.124Z,true,2025-05-16T03:14:50.223Z,2025-05-16T03:14:50.223Z,newsletter,everyone,DuckDB + PyIceberg + Lambda,... with Cloudflare's R2 ...,
160667214.review-of-data-orchestration-landscape,2025-04-07T01:23:26.224Z,true,2025-04-07T01:23:26.298Z,2025-04-07T01:23:26.298Z,newsletter,everyone,Review of Data Orchestration Landscape,... and honest one ...,
160452902.data-engineering-central-podcast-150,2025-04-02T21:08:25.486Z,true,2025-04-02T21:08:25.733Z,2025-04-02T21:08:25.733Z,podcast,only_paid,Data Engineering Central Podcast - 07,Episode 07,
160284821.databricks-compute-thoughts-and-more,2025-04-01T01:40:45.276Z,true,2025-04-01T01:40:45.387Z,2025-04-01T01:40:45.387Z,newsletter,everyone,Databricks Compute. Thoughts and more.,dollar bill 'yall,
160184635.apache-comet-for-accelerating-spark,,false,,,newsletter,only_paid,,,
159836522.postgrest-postgresql-restful-api,,false,,,newsletter,only_paid,,,
159769340.apache-polaris-iceberg-catalog-with,2025-03-26T21:09:44.748Z,true,2025-03-26T21:09:44.901Z,2025-03-26T21:09:44.901Z,newsletter,everyone,Apache Polaris (Iceberg Catalog) ... with Daft,.. kicking tires ...,
159549950.partitions-in-distributed-compute,2025-03-21T16:13:38.860Z,true,2025-03-21T16:13:38.974Z,2025-03-21T16:13:38.974Z,newsletter,only_paid,Partitions in Distributed Compute.,finding out the unknown,
